question_category,number,question_type,question,answer,law_or_source,article_or_section,election
Civic Education,2,Open-ended,နိုင်ငံတော်ကို ပြည်သူက အုပ်ချုပ်ရတယ်လို့ ဘာကြောင့် ပြောနိုင်သလဲ။,၂၀၀၈ ဖွဲ့စည်းပုံအခြေခံဥပဒေအရ နိုင်ငံတော်ရဲ့ အချုပ်အခြာအာဏာဟာ နိုင်ငံသားများထံက ဆင်းသက်ပြီး၊ နိုင်ငံဝန်းလုံးမှာ တည်ရတဲ့အတွက် ဖြစ်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁)၊ ပုဒ်မ ၄,2015GeneralElection
Civic Education,3,Open-ended,မြန်မာနိုင်ငံက ဒီမိုကရေစီ နိုင်ငံလား၊ ဒီမိုကရေစီ ရပြီလား။,ဖွဲ့စည်းပုံအခြေခံဥပဒေအရ မြန်မာနိုင်ငံသည် ပါတီစုံဒီမိုကရေစီစနစ်ကို ကျင့်သုံးသော နိုင်ငံဖြစ်ပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁)၊ ပုဒ်မ ၇,2015GeneralElection
Civic Education,5,Open-ended,အာဏာ သုံးရပ် ဆိုတာ ဘာတွေလဲ။,နိုင်ငံတော်အချုပ်အခြာအာဏာမှာ ဥပဒေပြုရေးအာဏာ၊ အုပ်ချုပ်ရေးအာဏာနဲ့ တရားစီရင်ရေးအာဏာ ဆိုပြီး၊ ခက်မသုံးဖြာ ရှိပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁)၊ ပုဒ်မ ၁၁ (က),2015GeneralElection
Civic Education,6,Open-ended,နိုင်ငံတော်တွင် ပြည်ထောင်စုနယ်မြေ၊ တိုင်းဒေသကြီးနှင့် ပြည်နယ် ဘယ်နှစ်ခုဖြင့် ဖွဲ့စည်းထားပါသလဲ။,နိုင်ငံတော်ကို တိုင်းဒေသကြီး (၇) ခု၊ ပြည်နယ် (၇) ခု နဲ့ ပြည်ထောင်စုနယ်မြေများနဲ့ ပိုင်းခြား သတ်မှတ်ထားပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၂)၊ ပုဒ်မ ၄၉ နှင့် ၅၀,2015GeneralElection
Civic Education,9,Open-ended,နိုင်ငံ့ခေါင်းဆောင် တစ်ဦးမှာ ရှိသင့်ရှိထိုက်တဲ့ အရည်အချင်းတွေက ဘာတွေလဲ။,ဖွဲ့စည်းပုံအခြေခံဥပဒေအရ နိုင်ငံတော်သမ္မတဟာ နိုင်ငံတော်ရဲ့ အကြီးအကဲ ဖြစ်ပါတယ်။ နိုင်ငံတော်သမ္မတအဖြစ် ရှိသင့်ရှိထိုက်တဲ့ အရည်အချင်းတွေကတော့ နိုင်ငံတော်နဲ့ နိုင်ငံသားများအပေါ် သစ္စာရှိသူ၊ ကိုယ်တိုင်နဲ့ မိဘနှစ်ပါးလုံးဟာ နိုင်ငံတော်ရဲ့ အာဏာပိုင်နက်အတွင်းမှာ မွေးဖွားတဲ့ တိုင်းရင်းသားမှ ဖြစ်တဲ့ မြန်မာနိုင်ငံသားဖြစ်သူ၊ အနည်းဆုံး အနှစ် ၂၀တွင်း နိုင်ငံတော်အတွင်းနေထိုင်သူ၊ မိမိသော်လည်းကောင်း၊ခင်ပွန်း၊ဇနီးသော်လည်းကောင်း၊ သားသမီးသော်လည်းကောင်း တိုင်းတစ်ပါးနိုင်ငံ၏နိုင်ငံသားနှင့်အကျိုးကျေးဇူးခံစားခွင့်များကို ခံစားနိုင်ခွင့်ရှိသူမဖြစ်ရနဲ့ ဖွဲ့စည်းပုံအခြေခံဥပဒေအရ ပြဌာန်းထားသော သမ္မတအရည်အချင်းများ ရှိသူ ဖြစ်ရပါမယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၃)၊ ပုဒ်မ ၅၉,2015GeneralElection
Civic Education,10,Yes/No,ပြည်သူလူထုမှ သမ္မတ ဖြစ်ခွင့်ရှိသလား။,နိုင်ငံသားတိုင်းဟာ ဖွဲ့စည်းပုံ အခြေခံဥပဒေပါ အရည်အချင်းနဲ့ ကိုက်ညီရင် ပြည်သူလူထုမှသမ္မတဖြစ်ခွင့် ရှိပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၃)၊ ပုဒ်မ ၅၉,2015GeneralElection
Civic Education,11,Open-ended,နိုင်ငံတော်သမ္မတကို ဘယ်လိုရွေးချယ်တင်မြောက်လို့ရသလဲ။,သမ္မတ ရွေးချယ်တင်မြှောက်ရေးအဖွဲ့နှင့် ရွေးချယ်တင်မြှောက်ရပါမယ်။ ရွေးချယ်တင်မြှောက်ရေးအဖွဲ့ကို ပြည်ထောင်စုလွှတ်တော်ကိုယ်စားလှယ် အစုအဖွဲ့ သုံးဖွဲ့နဲ့ ဖွဲ့စည်းရပါမယ်။ အစုအဖွဲ့ သုံးဖွဲ့ ဆိုရာမှာ အမျိုးသားလွှတ်တော်ကိုယ်စားလှယ်များ အစုအဖွဲ့၊ ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်များ အစုအဖွဲ့၊ လွှတ်တော်နှစ်ရပ်အတွက် တပ်မတော်ကာကွယ်ရေး ဦးစီးချုပ်က အမည်စာရင်းတင်သွင်းတဲ့ တပ်မတော်သား လွှတ်တော် ကိုယ်စားလှယ်များ အစုအဖွဲ့ စတာတွေ ပါဝင်ပါတယ်။ ဒီအစုအဖွဲ့တခုစီက ဒုသမ္မတ တစ်ဦးစီကို လွှတ်တော်ကိုယ်စားလှယ်များထဲက ဖြစ်စေ၊ လွှတ်တော်ကိုယ်စားလှယ် မဟုတ်သူများထဲက ဖြစ်စေ ရွေးချယ်တင်မြှောက်ရမယ်။ သတ်မှတ်အရည်အချင်းရှိမရှိကို ပြည်ထောင်စုလွှတ်တော်နှင့် ပြည်ထောင်စု လွှတ်တော်မှာ ပါဝင်တဲ့ လွှတ်တော်နှစ်ရပ်ရဲ့ အကြီးအမှူးများနဲ့ ဒုတိယအကြီးအမှူးများ ပါဝင်တဲ့ အဖွဲ့က စိစစ်ရပါမယ်။ ပြီးတဲ့အခါ သမ္မတရွေးချယ်တင်မြှောက်ရေးအဖွဲ့က နိုင်ငံတော်သမ္မတလောင်းများ ဖြစ်တဲ့ ဒုသမ္မတသုံးဦးအနက် မိမိတို့ ကြိုက်နှစ်သက်တဲ့ ဒုသမ္မတ တဦးကို နိုင်ငံတော်သမ္မတအဖြစ် ဆန္ဒမဲပေး ရွေးချယ်တင်မြှောက်ရပါမယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၃)၊ ပုဒ်မ ၆၀,2015GeneralElection
Civic Education,12,Yes/No,ပြည်သူလူထုမှ သမ္မတအား တိုက်ရိုက်ရွေးချယ်လို့ရပါသလား။,မရပါ။ ဖွဲ့စည်းပုံအခြေခံဥပဒေအရ သတ်မှတ်ထားသော သမ္မတရွေးကောက်တင်မြှောက်ခြင်း လုပ်ထုံး လုပ်နည်းများ အတိုင်းသာ သမ္မတကို ရွေးကောက်တင်မြှောက်ခွင့်ရှိပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၃)၊ ပုဒ်မ ၆၀,2015GeneralElection
Civic Education,13,Yes/No,သမ္မတက ပါတီလုပ်ငန်းများမှာ ပါဝင်ခွင့်ရှိသလား။,နိုင်ငံတော်သမ္မတနဲ့ ဒုသမ္မတများဟာ နိုင်ငံရေးပါတီတခုခုရဲ့ အဖွဲဝင်ဖြစ်ရင်၊ သမ္မတ (သို့မဟုတ်) ဒုသမ္မတများအဖြစ် ရွေးချယ်တင်မြှောက်ခြင်း ခံရတဲ့ နေ့မှစပြီး၊ ရာထူးသက်တမ်းအတွင်း ယင်းပါတီ အဖွဲ့အစည်းများရဲ့ ပါတီလုပ်ငန်းများမှာ ပါဝင်ဆောင်ရွက်ခြင်း မပြုရပါဘူး။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၃)၊ ပုဒ်မ ၆၄,2015GeneralElection
Civic Education,14,Open-ended,လွှတ်တော်တွေကို ဘယ်လို သတ်မှတ်ထားသလဲ။,နိုင်ငံတော်ရဲ့ ဥပဒေပြုရေးအာဏာကို ပြည်ထောင်စုလွှတ်တော်၊ တိုင်းဒေသကြီးလွှတ်တော်နဲ့ ပြည်နယ် လွှတ်တော်များအား ခွဲ၀ပ်နှင်းပါတယ်။ ပြည်ထောင်စု လွှတ်တော်မှာ ပြည်သူ့လွှတ်တော်နဲ့ အမျိုးသား လွှတ်တော် နှစ်ရပ် ပါရှိပါတယ်။ တိုင်းဒေသကြီး လွှတ်တော် (၇) ခုမှာ တိုင်းဒေသကြီး လွှတ်တော်တရပ်စီနဲ့ ပြည်နယ် (၇) ပြည်နယ်မှာ ပြည်နယ်လွှတ်တော်တရပ်စီ ရှိပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၉၆ နှင့် ပုဒ်မ ၁၈၈,2015GeneralElection
